,SIC,Horizontal,"CAR(-1, +1)","CAR(-2, +2)",Crossborder,Cash,Leverage,Acquiror size,Date (years)
9447,3845,0,-0.064195,-0.005729,1,1,0.468877,33.53,2010
9448,3826,0,-0.039259,0.0035242,1,0,0.1499731,182.751,2010
9449,4911,1,-0.023603,-0.03729,1,0,0.7396851,3841.043,2011
9450,4911,1,0.0384971,0.0508279,1,0,0.7289554,882.039,2006
9451,6211,0,0.2021726,0.147189,1,0,0.6923446,751.878,2015
9452,6211,0,-0.027285,-0.032605,1,0,0.7048982,627.171,2010
9453,6211,1,0.0105869,0.0196358,0,0,0.8627297,598.896,2014
9454,6211,0,0.0031931,-0.034535,0,1,0.7327439,660.86,2011
9455,8200,0,0.0145602,0.0835719,1,0,0.8310452,565.76,2013
9456,8200,0,-0.033867,-0.089498,1,0,0.6988887,4786.801,2009
9457,3812,0,0.0178612,-0.025562,1,0,0.8167882,1796.909,2012
9458,3561,0,0.0325293,-0.003156,1,0,0.6039368,10182.318,2006
9459,3825,1,0.019151,0.0039821,1,1,0.206843,440.534,2009
9460,3825,0,0.0238031,0.0018054,1,1,0.4592789,838.369,2012
9461,3825,0,-0.008877,0.0202477,1,1,0.4592789,724.402,2012
9462,3825,0,0.0106167,0.0310332,1,1,0.1618675,360.077,2009
9463,3825,0,0.008916,0.0087057,1,0,0.4419988,938.464,2014
9464,3825,0,-0.017374,-0.10125,1,1,0.4377296,1170.043,2013
9465,3825,0,-0.020871,-0.010596,1,0,0.4799454,1069.708,2011
9466,3674,1,-0.018592,0.0202291,0,0,0.2927504,365.27,2014
9467,3674,1,-0.006949,0.0101187,0,0,0.269413,367.822,2015
9468,3674,0,-0.036793,-0.050191,1,0,0.3534785,277.879,2010
9469,3674,0,-0.04833,0.0119903,1,0,0.2395015,279.73,2013
9470,3674,1,0.0213255,0.0063591,1,0,0.3360274,223.225,2008
9471,3674,1,0.0022165,-0.023505,1,0,0.3185549,223.225,2008
9472,9997,0,0.05663,0.027012,1,0,0.6091268,3068.223,2009
9473,9997,0,-0.035268,-0.033486,1,1,0.6707002,3759.165,2011
9474,9997,0,-0.022295,-0.042643,1,1,0.6020117,7381.377,2013
9475,9997,0,0.0004598,0.0051683,1,1,0.5987683,2982.44,2010
9476,9997,0,0.008938,0.0028979,1,1,0.3169817,7641.814,2007
9477,9997,0,0.0512605,0.0205446,1,1,0.7164548,3526.397,2011
9478,9997,0,-0.032516,-0.083446,1,1,0.6625178,9871.359,2015
9479,9997,0,0.0121718,0.0085934,1,0,0.6537172,11055.663,2015
9480,6794,0,0.0439405,0.0123175,1,1,0.6286915,1583.433,2015
9481,6794,0,-0.052365,-0.016124,0,1,0.476238,1528.227,2013
9482,6794,0,0.0217327,0.0548015,1,1,0.3360592,817.362,2007
9483,6794,0,0.0071104,0.036758,1,0,0.5263889,562.638,2009
9484,6794,0,-0.010381,-0.002448,1,1,0.5420829,1612.588,2013
9485,6794,0,0.0268432,0.0375449,0,0,0.6147317,1752.936,2014
9486,6794,0,0.0272166,0.0394014,1,0,0.4849243,554.856,2006
9487,6794,0,-0.012119,-0.006105,1,0,0.4620187,933.751,2010
9488,6794,0,-0.055927,-0.088815,1,1,0.4570335,1126.528,2009
9489,6794,0,0.0086752,0.0142974,1,1,0.5899764,1138.298,2007
9490,6794,0,-0.083951,-0.062781,1,0,0.4849243,579.646,2006
9491,6794,1,0.0513245,0.0798779,1,0,0.5985588,1272.24,2007
9492,6794,0,0.0070695,-0.012917,0,0,0.476238,1615.554,2013
9493,6794,0,-0.062885,-0.08381,1,0,0.3360592,814.107,2007
9494,6794,0,-0.049171,-0.053347,1,1,0.4112796,1218.596,2011
9495,6794,0,0.0064314,0.0176345,0,1,0.364407,1244.243,2012
9496,6794,0,0.074755,0.0728787,1,1,0.5762614,747.288,2008
9497,2741,0,0.0144628,-0.014781,1,0,6.4409898,4472.603,2007
9498,2741,0,-0.031631,-0.041196,1,0,6.4409898,4700.198,2007
9499,9995,0,0.0009207,-0.01839,0,0,0.0405495,168.3,2009
9500,3577,1,-0.014215,-0.127799,1,0,0.3453712,124.551,2011
9501,3577,1,0.0041347,0.032199,1,0,0.3213589,111.77,2011
9502,5812,1,-0.063028,-0.114461,1,1,0.4727062,332.494,2013
9503,3577,0,-0.069291,-0.14095,0,1,0.169476,46.696,2010
9504,3577,0,-0.057141,-0.094901,1,1,0.169476,53.931,2010
9505,3674,1,-0.002501,0.0197615,1,1,0.2115578,157.393,2008
9506,3674,1,-0.113027,-0.096209,1,1,0.1667737,40.52,2009
9507,3674,1,-0.134765,-0.208135,1,0,0.1683974,423.132,2006
9508,2840,0,0.0184171,-0.025316,1,1,0.101822,14.8,2006
9509,3560,0,-0.021454,-0.014328,0,0,0.4462394,24319.176,2010
9510,3560,0,-0.004598,-0.005354,1,0,0.4516923,23353.783,2010
9511,3560,0,0.0050257,0.0099103,0,0,0.3692805,30129.667,2007
9512,3560,0,0.0131913,0.0216339,0,0,0.4634936,22806.548,2012
9513,3560,0,0.0132584,0.0097034,0,0,0.3503442,28905.12,2007
9514,3560,0,-0.007722,0.000883,1,0,0.3425751,26643.276,2006
9515,3560,0,-0.006484,0.0028455,1,0,0.3503442,26529.9,2007
9516,3560,0,-0.009152,-0.017749,1,0,0.3585543,31189.96,2007
9517,3560,0,0.0111794,-0.006136,0,0,0.427415,25765.846,2008
9518,3560,0,-0.025494,-0.020348,1,0,0.3251197,13454.398,2006
9519,3560,0,0.0265649,0.0279459,1,0,0.4634936,23235.665,2012
9520,3560,0,-0.015921,-0.011686,0,0,0.3148974,25924.042,2006
9521,3560,0,0.0220049,0.0055031,0,0,0.3585543,30660.024,2007
9522,3560,0,-0.004,-0.021853,1,1,0.3251197,14086.979,2006
9523,3560,0,0.0066124,-0.001185,1,0,0.3503442,28131.011,2007
9524,3560,0,0.0140267,0.0007282,1,0,0.3585543,30141.094,2007
9525,3560,0,-0.008038,0.0004065,1,1,0.3148974,25645.757,2006
9526,3560,0,-0.00568,0.0080413,1,0,0.4661487,27796.2,2012
9527,3560,0,-0.051034,0.0007487,0,0,0.4655618,16392.579,2009
9528,3560,0,-0.067403,-0.086073,1,0,0.4116444,27377.705,2011
9529,3560,0,-0.001461,0.0001827,1,0,0.3251197,29302.959,2006
9530,3560,0,0.0066957,-0.014896,1,0,0.4214573,25987.487,2008
9531,3560,0,-0.012772,0.0084807,1,0,0.4655618,16948.589,2008
9532,3560,0,-0.027942,-0.020514,0,0,0.4428352,208.073,2010
9533,3560,0,0.0148436,-0.008654,0,1,0.4634936,21519.042,2011
9534,3560,0,0.0252556,0.0274371,1,0,0.3692805,31038.072,2007
9535,3560,0,-0.041328,-0.041421,0,0,0.4227023,26944.552,2011
9536,3560,0,-0.000436,-0.000694,0,0,0.442041,26426.417,2012
9537,3560,0,0.0013862,-0.000899,0,0,0.4648027,31160.923,2013
9538,3560,0,0.0172257,0.020009,1,0,0.4462394,22125.191,2009
9539,3560,0,-0.020147,-0.009465,0,0,0.3585543,31708.872,2007
9540,3560,0,-0.025721,-0.01472,0,0,0.4462394,24284.117,2010
9541,3560,0,0.01661,0.0262888,0,0,0.3503442,29366.149,2007
9542,3560,0,-0.008288,-0.013938,0,0,0.3425751,24050.205,2006
9543,3560,0,-0.004049,-0.031986,1,0,0.4489685,25481.037,2010
9544,3560,0,0.0126266,-0.001215,0,0,0.3251197,28875.664,2006
9545,3560,0,-0.007953,-0.02116,1,0,0.3251197,13502.622,2006
9546,3560,0,0.0032925,-0.005889,0,0,0.3629459,29099.702,2007
9547,3560,0,0.0013288,0.014495,0,0,0.3629459,30313.35,2007
9548,3560,0,0.0154084,0.0224832,0,0,0.4462394,22515.905,2009
9549,3560,0,0.0080858,0.0088765,0,0,0.4227023,27387.706,2011
9550,3560,0,0.0343858,0.0502346,0,0,0.3148974,24591.177,2006
9551,3560,0,-0.046857,-0.059487,1,0,0.3692805,31337.248,2008
9552,3560,0,-0.008747,0.0030308,0,0,0.4605478,28886.792,2012
9553,3560,0,-0.001329,-0.004909,0,0,0.3425751,27006.068,2006
9554,3560,0,0.0146431,-0.00738,0,0,0.4374433,21538.698,2011
9555,3560,0,0.0141292,0.0056694,1,0,0.427415,23839.009,2008
9556,3560,0,-0.016218,-0.021984,1,0,0.3503442,28868.789,2007
9557,3560,0,0.0152568,-0.003906,0,0,0.3425751,26682.957,2006
9558,3560,0,-0.02144,-0.000543,1,1,0.3976937,26319.28,2008
9559,3560,0,0.0116974,0.0103057,1,0,0.3692805,32213.015,2007
9560,3560,0,-0.028605,0.0124874,1,0,0.4962576,13751.995,2009
9561,3560,0,0.0004624,0.0268004,1,0,0.4546791,23869.156,2010
